2015-12-22-11:20:52	tcp server listen 0.0.0.0:9000 
2015-12-22-11:20:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:20:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:21:44	current conn:0, QPS:0, read flux:0, write flux:0
./monitor.sh -daemon
2015-12-22-11:25:47	tcp server listen 0.0.0.0:9000 
2015-12-22-11:25:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:57	current conn:0, QPS:0, read flux:0, write flux:0
./monitor.sh -daemon
2015-12-22-11:25:58	tcp server bind error :Address already in use 
2015-12-22-11:25:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:25:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:03	current conn:0, QPS:0, read flux:0, write flux:0
